University Name,Recognized,RANK,Rank in world,Score,region Asia,Website,Phone,Email,Location
University of Dhaka,"Recognized, Verified",1,1100,75.42,341,https://www.du.ac.bd,+880 2 9661900,registrar@du.ac.bd,Dhaka
Bangladesh University of Engineering & Technology,"Recognized, Verified",2,1105,75.38,344,https://www.buet.ac.bd,+880 2 55167100,registrar@buet.ac.bd,Dhaka
Brac University,"Recognized, Verified",3,1736,69.05,615,https://www.bracu.ac.bd,+880 2 9844051,info@bracu.ac.bd,Dhaka
Rajshahi University,"Recognized, Verified",4,1847,68.09,663,https://www.ru.ac.bd,+880 721 711125,registrar@ru.ac.bd,Rajshahi
Shahjalal University of Science & Technology,"Recognized, Verified",5,2088,66.27,771,https://www.sust.edu,+880 821 713491,registrar@sust.edu,Sylhet
North South University Bangladesh,"Recognized, Verified",6,2111,66.14,781,https://www.northsouth.edu,+880 2 55668200,admissions@northsouth.edu,Dhaka
Jahangirnagar University,"Recognized, Verified",7,2148,65.78,803,https://www.juniv.edu,+880 2 7791045,registrar@juniv.edu,Savar
Daffodil International University,"Recognized, Verified",8,2239,65.13,849,https://www.daffodilvarsity.edu.bd,+880 2 9138234,info@daffodilvarsity.edu.bd,Dhaka
Bangladesh Agricultural University,"Recognized, Verified",9,2369,64.09,915,https://www.bau.edu.bd,+880 91 67401,registrar@bau.edu.bd,Mymensingh
University of Chittagong,"Recognized, Verified",10,2371,64.08,916,https://www.cu.ac.bd,+880 31 726311,registrar@cu.ac.bd,Chattogram
Khulna University of Engineering & Technology,"Recognized, Verified",11,2978,59.94,1224,https://www.kuet.ac.bd,+880 41 774501,registrar@kuet.ac.bd,Khulna
Chittagong University of Engineering & Technology,"Recognized, Verified",12,3023,59.66,1250,https://www.cuet.ac.bd,+880 31 714946,registrar@cuet.ac.bd,Chattogram
Independent University Bangladesh,"Recognized, Verified",13,3076,59.29,1281,https://www.iub.edu.bd,+880 2 8431645,info@iub.edu.bd,Dhaka
American International University Bangladesh,"Recognized, Verified",14,3108,59.05,1300,https://www.aiub.edu,+880 2 55044805,info@aiub.edu,Dhaka
Ahsanullah University of Science & Technology,"Recognized, Verified",15,3183,58.59,1337,https://www.aust.edu,+880 2 8870422,info@aust.edu,Dhaka
Khulna University,"Recognized, Verified",16,3187,58.55,    Not Listed,https://www.ku.ac.bd,+880 41 720171,registrar@ku.ac.bd,Khulna
Rajshahi University of Engineering & Technology,"Recognized, Verified",17,3219,58.37,    Not Listed,https://www.ruet.ac.bd,+880 721 750319,registrar@ruet.ac.bd,Rajshahi
Bangabandhu Sheikh Mujibur Rahman Agricultural University,"Recognized, Verified",18,3234,58.28,1368,https://www.bsmrau.edu.bd,+880 2 9205310,registrar@bsmrau.edu.bd,Gazipur
East West University Bangladesh,"Recognized, Verified",19,3252,58.13,1380,https://www.ewubd.edu,+880 2 55085555,admissions@ewubd.edu,Dhaka
Jagannath University,Under Review,20,3400,56.96,    Not Listed,https://www.jnu.ac.bd,+880 2 47115499,registrar@jnu.ac.bd,Dhaka
International Islamic University Chittagong,"Recognized, Verified",21,3483,56.33,    Not Listed,https://www.iiuc.ac.bd,+8809613230505,info@iiuc.ac.bd,Chattogram
Mawlana Bhasani Science & Technology University,"Recognized, Verified",22,3734,54.38,    Not Listed,https://www.mbstu.ac.bd,+88092155301,registrar@mbstu.ac.bd,Tangail
United International University,"Recognized, Verified",23,3825,53.78,    Not Listed,https://www.uiu.ac.bd,09604-848848,info@uiu.ac.bd,Dhaka
Sher e Bangla Agricultural University,"Recognized, Verified",24,3864,53.54,    Not Listed,https://www.sau.edu.bd,+880244814020,info@sau.edu.bd,Dhaka
Patuakhali Science & Technology University,"Recognized, Verified",25,3969,52.74,    Not Listed,https://www.pstu.ac.bd,+880442761003,registrar@pstu.ac.bd,Patuakhali
Dhaka University of Engineering & Technology,"Recognized, Verified",26,4008,52.46,    Not Listed,https://www.duet.ac.bd,+8802-49274034,registrar@duet.ac.bd,Gazipur
Noakhali University of Science & Technology,"Recognized, Verified",27,4065,52.03,    Not Listed,https://www.nstu.edu.bd,+880321627405,registrar@nstu.edu.bd,Noakhali
Sylhet Agricultural University,Under Review,28,4107,51.8,    Not Listed,https://www.sau.ac.bd,+880821761980,registrar@sau.ac.bd,Sylhet
Islamic University Kushtia,"Recognized, Verified",29,4192,51.21,    Not Listed,https://www.iu.ac.bd,+88071274901,registrar@iu.ac.bd,Kushtia
Bangabandhu Sheikh Mujib Medical University,"Recognized, Verified",30,4353,50.35,    Not Listed,https://www.bsmmu.edu.bd,+880255165657,registrar@bsmmu.edu.bd,Dhaka
Begum Rokeya University Rangpur,"Recognized, Verified",31,4441,49.84,    Not Listed,https://www.brur.ac.bd,+88052165012,registrar@brur.ac.bd,Rangpur
Hajee Mohammad Danesh Science & Technology University Dinajpur,"Recognized, Verified",32,4463,49.75,    Not Listed,https://www.hstu.ac.bd,+88053165144,registrar@hstu.ac.bd,Dinajpur
University of Liberal Arts Bangladesh,"Recognized, Verified",33,4470,49.72,    Not Listed,https://www.ulab.edu.bd,+8809604393939,admissions@ulab.edu.bd,Dhaka
Green University of Bangladesh,"Recognized, Verified",34,4658,48.78,    Not Listed,https://www.green.edu.bd,+8802-55028411,info@green.edu.bd,Dhaka
International University of Business Agriculture & Technology University of Dhaka,"Recognized, Verified",35,4866,47.78,    Not Listed,https://www.iubat.edu,+8802-55091801,registrar@iubat.edu,Dhaka
Military Institute of Science & Technology,Under Review,36,5079,46.92,    Not Listed,https://www.mist.ac.bd,+8802-8034194,info@mist.ac.bd,Dhaka
Chittagong Veterinary & Animal Sciences University,"Recognized, Verified",37,5222,46.42,    Not Listed,https://www.cvasu.ac.bd,+880312556701,registrar@cvasu.ac.bd,Chattogram
Comilla University,"Recognized, Verified",38,5721,44.5,    Not Listed,https://www.cou.ac.bd,+88081328034,registrar@cou.ac.bd,Cumilla
Southeast University,Under Review,39,5868,43.81,    Not Listed,https://www.seu.edu.bd,+8802-55087203,info@seu.edu.bd,Dhaka
World University of Bangladesh,"Recognized, Verified",40,6130,42.74,    Not Listed,https://www.wub.edu.bd,+8802-9550357,info@wub.edu.bd,Dhaka
Stamford University Bangladesh,"Recognized, Verified",41,6242,42.3,    Not Listed,https://www.stamforduniversity.edu.bd,+880 2 9355962,info@stamforduniversity.edu.bd,Dhaka
National University Bangladesh,Under Review,42,6436,41.61,    Not Listed,https://www.nu.ac.bd,+880 2 9291016,registrar@nu.ac.bd,Gazipur
Northern University Bangladesh,"Recognized, Verified",43,6496,41.34,    Not Listed,https://www.nub.ac.bd,+880 2 48955956,info@nub.ac.bd,Dhaka
Uttara University,"Recognized, Verified",44,6533,41.14,    Not Listed,https://www.uttarauniversity.edu.bd,+880 2 58952261,info@uttarauniversity.edu.bd,Dhaka
Primeasia University,"Recognized, Verified",45,6711,40.43,    Not Listed,https://www.primeasia.edu.bd,+880 2 9884917,info@primeasia.edu.bd,Dhaka
Bangladesh University of Professionals,"Recognized, Verified",46,6722,40.38,    Not Listed,https://www.bup.edu.bd,+880 2 8000368,info@bup.edu.bd,Dhaka
Dhaka International University,Under Review,47,6794,40.12,    Not Listed,https://www.diu.ac,+880 2 48114022,info@diu.ac,Dhaka
State University of Bangladesh,"Recognized, Verified",48,6805,40.08,    Not Listed,https://www.sub.edu.bd,+880 2 55168201,info@sub.edu.bd,Dhaka
Manarat International University,"Recognized, Verified",49,7008,39.36,    Not Listed,https://www.manarat.ac.bd,+880 2 55091816,info@manarat.ac.bd,Dhaka
Eastern University Bangla Desh,"Recognized, Verified",50,7208,38.73,    Not Listed,https://www.easternuni.edu.bd,+880 2 55091830,info@easternuni.edu.bd,Dhaka
City University Bangladesh,"Recognized, Verified",51,7763,37.18,    Not Listed,https://www.cityuniversity.edu.bd,+880 2 9967988,info@cityuniversity.edu.bd,Dhaka
Premier University Chittagong,"Recognized, Verified",52,7774,37.14,    Not Listed,https://www.puc.ac.bd,+880 31 2856000,info@puc.ac.bd,Chattogram
University of Development Alternative,"Recognized, Verified",53,7966,36.67,    Not Listed,https://www.uoda.edu.bd,+880 2 8626821,info@uoda.edu.bd,Dhaka
Metropolitan University Sylhet,"Recognized, Verified",54,8113,36.34,    Not Listed,https://www.metrouni.edu.bd,+880 821 713077,info@metrouni.edu.bd,Sylhet
Jatiya Kabi Kazi Nazrul Islam University,"Recognized, Verified",55,8124,36.31,    Not Listed,https://www.jkkniu.edu.bd,+880 90559033,registrar@jkkniu.edu.bd,Mymensingh
Pabna University of Science & Technology,"Recognized, Verified",56,8176,36.16,    Not Listed,https://www.pust.ac.bd,+880 731 63301,registrar@pust.ac.bd,Pabna
Southern University Bangladesh,"Recognized, Verified",57,8216,36.09,    Not Listed,https://www.southern.edu.bd,+880 31 2550222,info@southern.edu.bd,Chattogram
Jessore University of Science & Technology,"Recognized, Verified",58,8244,36.02,    Not Listed,https://www.just.edu.bd,+880 421 72020,registrar@just.edu.bd,Jashore
University of Information Technology & Sciences,"Recognized, Verified",59,8770,34.88,    Not Listed,https://www.uits.edu.bd,+880 2 58153939,info@uits.edu.bd,Dhaka
Presidency University Bangla Desh,"Recognized, Verified",60,8897,34.67,    Not Listed,https://www.presidency.edu.bd,+880 2 55091822,info@presidency.edu.bd,Dhaka
Gono University,"Recognized, Verified",61,8990,34.47,    Not Listed,https://www.gonouniversity.edu.bd,+880 2 7789104,info@gonouniversity.edu.bd,Savar
Bangabandhu Sheikh Mujibur Rahman Science & Technology University,"Recognized, Verified",62,9171,34.06,    Not Listed,https://www.bsmrstu.edu.bd,+880 668 2257,registrar@bsmrstu.edu.bd,Gopalganj
Bangladesh Open University,"Recognized, Verified",63,9426,33.58,    Not Listed,https://www.bou.edu.bd,+880 2 9291072,info@bou.edu.bd,Gazipur
Leading University,"Recognized, Verified",64,9444,33.56,    Not Listed,https://www.lus.ac.bd,+880 821 713017,info@lus.ac.bd,Sylhet
Bangladesh University of Business & Technology,"Recognized, Verified",65,9668,33.16,    Not Listed,https://www.bubt.edu.bd,+880 2 55091801,info@bubt.edu.bd,Dhaka
BGMEA University of Fashion & Technology,"Recognized, Verified",66,9695,33.1,    Not Listed,https://www.buft.edu.bd,+880 2 55091861,info@buft.edu.bd,Dhaka
Prime University,"Recognized, Verified",67,9871,32.75,    Not Listed,https://www.primeuniversity.edu.bd,+880 2 9131826,info@primeuniversity.edu.bd,Dhaka
University of Science & Technology Chittagong,"Recognized, Verified",68,10174,32.19,    Not Listed,https://www.ustc.ac.bd,+880 31 659070,info@ustc.ac.bd,Chattogram
East Delta University,"Recognized, Verified",69,10536,31.53,    Not Listed,https://www.eastdelta.edu.bd,+880 31 2550223,info@eastdelta.edu.bd,Chattogram
ASA University Bangladesh,"Recognized, Verified",70,11017,30.61,    Not Listed,https://www.asaub.edu.bd,+880 2 58157091,info@asaub.edu.bd,Dhaka
Bangladesh University of Textiles,"Recognized, Verified",71,11053,30.55,    Not Listed,https://www.butex.edu.bd,+880 2 9114260,registrar@butex.edu.bd,Dhaka
Atish Dipankar University of Science & Technology,"Recognized, Verified",72,11363,29.98,    Not Listed,https://www.adust.edu.bd,+880 2 9861900,info@adust.edu.bd,Dhaka
Bangladesh University,"Recognized, Verified",73,11698,29.3,    Not Listed,https://www.bu.edu.bd,+880 2 9611899,info@bu.edu.bd,Dhaka
Dhaka Medical College,Under Review,74,11894,28.98,    Not Listed,https://www.dmc.gov.bd,+880 2 9669341,info@dmc.gov.bd,Dhaka
Barisal University,Under Review,75,12085,28.63,    Not Listed,https://www.bu.ac.bd,+880 431 2177771,registrar@bu.ac.bd,Barishal
University of Dhaka Institute of Statistical Research & Training,Under Review,76,12310,28.19,    Not Listed,https://www.isrt.ac.bd,+880 2 9661920,info@isrt.ac.bd,Dhaka
Bangabandhu Sheikh Mujibur Rahman Maritime University,Under Review,77,12525,27.77,    Not Listed,https://www.bsmrmu.edu.bd,+880 2 55168051,registrar@bsmrmu.edu.bd,Dhaka
Shanto Mariam University of Creative Technology,"Recognized, Verified",78,12673,27.48,    Not Listed,https://www.smuct.edu.bd,+880 2 9343790,info@smuct.edu.bd,Dhaka
European University of Bangladesh,"Recognized, Verified",79,12677,27.48,    Not Listed,https://www.eub.edu.bd,+880 2 55091851,info@eub.edu.bd,Dhaka
Varendra University,"Recognized, Verified",80,12826,27.21,    Not Listed,https://www.vu.edu.bd,+880 721 751274,info@vu.edu.bd,Rajshahi
Sylhet International University,"Recognized, Verified",81,12954,26.94,    Not Listed,,,,
Victoria University of Bangladesh,"Recognized, Verified",82,13020,26.81,    Not Listed,,,,
Asian University of Bangladesh,"Recognized, Verified",83,13358,26.22,    Not Listed,,,,
Port City International University,"Recognized, Verified",84,13390,26.16,    Not Listed,,,,
Bangladesh Islami University,"Recognized, Verified",85,13801,25.43,    Not Listed,,,,
Islamic Arabic University,"Recognized, Verified",86,13870,25.32,    Not Listed,,,,
Mymensingh Medical College,Under Review,87,14093,24.95,    Not Listed,,,,
Chittagong Independent University,"Recognized, Verified",88,14385,24.46,    Not Listed,,,,
Chittagong Medical College,Under Review,89,14569,24.15,    Not Listed,,,,
University of Asia Pacific Bangladesh,"Recognized, Verified",90,15039,23.47,    Not Listed,,,,
Royal University of Dhaka,"Recognized, Verified",91,15208,23.18,    Not Listed,,,,
People's University of Bangladesh,"Recognized, Verified",92,15310,23.03,    Not Listed,,,,
Asian University for Women,"Recognized, Verified",93,15331,22.99,    Not Listed,,,,
Islamic University of Technology,"Recognized, Verified",94,15497,22.77,    Not Listed,,,,
Sonargaon University,"Recognized, Verified",95,15517,22.74,    Not Listed,,,,
Rajshahi Medical University,"Recognized, Verified",96,15717,22.45,    Not Listed,,,,
Dhaka City College,Under Review,97,15827,22.27,    Not Listed,,,,
Khwaja Yunus Ali University,"Recognized, Verified",98,15945,22.06,    Not Listed,,,,
The Millenium University,"Recognized, Verified",99,16208,21.65,    Not Listed,,,,
Central Women's University,"Recognized, Verified",100,16274,21.54,    Not Listed,,,,
Hamdard University Bangladesh,"Recognized, Verified",101,16432,21.34,    Not Listed,,,,
Notre Dame University Bangladesh,"Recognized, Verified",102,16470,21.29,    Not Listed,,,,
North Western University Khulna,"Recognized, Verified",103,16752,20.87,    Not Listed,,,,
Rajshahi Medical College,Under Review,104,16912,20.64,    Not Listed,,,,
Bangladesh University of Health Sciences,"Recognized, Verified",105,16959,20.56,    Not Listed,,,,
BGC Trust University Bangladesh,Under Review,106,17000,20.5,    Not Listed,,,,
Habiganj Agricultural University,Under Review,107,17039,20.45,    Not Listed,,,,
Khulna Agricultural University,Under Review,108,17320,20.03,    Not Listed,,,,
SZMC Shaheed Ziaur Rahman Medical College,Under Review,109,17576,19.64,    Not Listed,,,,
Queens University,"Recognized, Verified",110,17687,19.49,    Not Listed,,,,
Army University of Engineering & Technology Qadirabad,Under Review,111,17875,19.22,    Not Listed,,,,
Bangamata Sheikh Fojilatunnesa Mujib Science & Technology University,Under Review,112,18107,18.93,    Not Listed,,,,
Rabindra University Bangladesh,Under Review,113,18195,18.78,    Not Listed,,,,
Armed Forces Medical College Dhaka,Under Review,114,18321,18.63,    Not Listed,,,,
Sylhet Mag Osmani Medical College,Under Review,115,18380,18.55,    Not Listed,,,,
North East University Bangladesh,"Recognized, Verified",116,18712,18.13,    Not Listed,,,,
Fareast International University,"Recognized, Verified",117,18851,17.97,    Not Listed,,,,
Rangamati Science & Technology University,"Recognized, Verified",118,19028,17.73,    Not Listed,,,,
Rangpur Medical College,Under Review,119,19167,17.55,    Not Listed,,,,
The International University of Scholars,Under Review,120,19173,17.55,    Not Listed,,,,
Sheikh Hasina University,Under Review,121,19241,17.47,    Not Listed,,,,
North East Medical College,Under Review,122,19336,17.34,    Not Listed,,,,
Bangladesh Army University of Science & Technology,Under Review,123,19480,17.16,    Not Listed,,,,
Bangladesh Army International University of Science & Technology Comilla,Under Review,124,19481,17.16,    Not Listed,,,,
Sir Salimullah Medical College,Under Review,125,20083,16.41,    Not Listed,,,,
Exim Bank Agricultural University Bangladesh,"Recognized, Verified",126,20142,16.34,    Not Listed,,,,
South Asia University Bangla Desh,Under Review,127,20203,16.25,    Not Listed,,,,
Feni University,"Recognized, Verified",128,20208,16.25,    Not Listed,,,,
Jahurul Islam Medical College,Under Review,129,20478,15.93,    Not Listed,,,,
Bangabandhu Sheikh Mujibur Rahman Digital University,Under Review,130,20484,15.92,    Not Listed,,,,
Dhaka National Medical College,Under Review,131,21231,15.08,    Not Listed,,,,
Northern University of Business & Technology Khulna,Under Review,132,21282,15.02,    Not Listed,,,,
First Capital University of Bangladesh,Under Review,133,21576,14.64,    Not Listed,,,,
Central University of Science & Technology,Under Review,134,21840,14.36,    Not Listed,,,,
North Bengal International University,"Recognized, Verified",135,21938,14.26,    Not Listed,,,,
National University of Bangladesh,"Recognized, Verified",136,21992,14.2,    Not Listed,,,,
Sylhet Engineering College Shahjalal University of Science & Technology,Under Review,137,22073,14.12,    Not Listed,,,,
Global University Bangladesh,Under Review,138,22110,14.07,    Not Listed,,,,
Canadian University of Bangladesh,Under Review,139,22381,13.78,    Not Listed,,,,
Rabindra Maitree University Kushtia,Under Review,140,22459,13.71,    Not Listed,,,,
University of Global Village,Under Review,141,22558,13.61,    Not Listed,,,,
Rajshahi Science & Technology University Natore,"Recognized, Verified",142,22626,13.53,    Not Listed,,,,
Ishakha International University Bangladesh,"Recognized, Verified",143,22681,13.48,    Not Listed,,,,
CCN University of Science & Technology,Under Review,144,22685,13.48,    Not Listed,,,,
IBAIS University,"Recognized, Verified",145,22746,13.4,    Not Listed,,,,
Chittagong Medical University,"Recognized, Verified",146,22772,13.37,    Not Listed,,,,
German University Bangladesh,"Recognized, Verified",147,22819,13.32,    Not Listed,,,,
Z.H Sikder University of Science & Technology,"Recognized, Verified",148,23090,13.05,    Not Listed,,,,
Ranada Prasad Shaha University,"Recognized, Verified",149,23468,12.68,    Not Listed,,,,
TMSS Medical College,Under Review,150,23476,12.67,    Not Listed,,,,
Ibrahim Medical College,Under Review,151,23547,12.59,    Not Listed,,,,
Bangladesh Medical College,Under Review,152,23678,12.46,    Not Listed,,,,
University of Creative Technology Chittagong,Under Review,153,23932,12.2,    Not Listed,,,,
Pundra University of Science & Technology,Under Review,154,23966,12.15,    Not Listed,,,,
Shaheed Suhrawardy Medical College,Under Review,155,24051,12.09,    Not Listed,,,,
P I University of Bangladesh,Under Review,156,24291,11.81,    Not Listed,,,,
Kumudini Women's Medical College,Under Review,157,24508,11.57,    Not Listed,,,,
Sylhet Medical University,Under Review,158,24682,11.4,    Not Listed,,,,
Pabna Textile Engineering College,Under Review,159,25522,10.58,    Not Listed,,,,
International Standard University,Under Review,160,25971,10.18,    Not Listed,,,,
Times University Bangladesh,"Recognized, Verified",161,26839,9.4,    Not Listed,,,,
N R F University of Management Sciences,Under Review,162,26990,9.28,    Not Listed,,,,
Sheikh Fazilatunnesa Mujib University,Under Review,163,27386,8.95,    Not Listed,,,,
Coxs Bazar International University,"Recognized, Verified",164,27885,8.53,    Not Listed,,,,
Bandarban University,Under Review,165,28013,8.41,    Not Listed,,,,
Darul Ihsan University,Under Review,166,28789,7.8,    Not Listed,,,,
Anwer Khan Modern University,Under Review,167,29169,7.47,    Not Listed,,,,
Kabi Nazrul Government College,Under Review,168,29701,7.04,    Not Listed,,,,
Britannia University,Under Review,169,29963,6.83,    Not Listed,,,,
Khulna City Medical College,Under Review,170,30286,6.6,    Not Listed,,,,
Tagore University of Creative Arts Keranigonj,Under Review,171,30438,6.5,    Not Listed,,,,
University of Comilla,"Recognized, Verified",172,30497,6.46,    Not Listed,,,,
Centre for Medical Education,Under Review,173,32226,5.34,    Not Listed,,,,
Shah Makhdum Management University Rajshahi,Under Review,174,33154,4.77,    Not Listed,,,,
Khulna Medical College,Under Review,175,33623,4.35,    Not Listed,,,,
International Culture University,Under Review,N/A,N/A,Bangladesh,Region    N/A,,,,
BRAC University Institute of Governance Studies,Under Review,N/A,N/A,Bangladesh,Region    N/A,,,,
University of Dhaka Department of Economics,"Inactive, not operating",N/A,N/A,Bangladesh,Region    N/A,,,,
Pundro University of Science & Technology,"Inactive, not operating",N/A,N/A,Bangladesh,Region    N/A,,,,
,,,,,,,,,
,,,,,,,,,
